Survived,Pclass,Sex,Age,Fare,Embarked,Deck,Family_Size,Title,Ticket_Frequency
0,3,male,17-30,0-7.5,S,FG,Small,Mr,1
1,1,female,31-45,60-100,C,ABC,Small,Miss/Mrs,1
1,3,female,17-30,7.5-15,S,FG,Alone,Miss/Mrs,1
1,1,female,31-45,30-60,S,ABC,Small,Miss/Mrs,2
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
0,1,male,46-60,30-60,S,DE,Alone,Mr,1
0,3,male,0-16,15-30,S,FG,Medium,Master,4
1,3,female,17-30,7.5-15,S,FG,Small,Miss/Mrs,3
1,2,female,0-16,30-60,C,DE,Small,Miss/Mrs,2
1,3,female,0-16,15-30,S,FG,Small,Miss/Mrs,2
1,1,female,46-60,15-30,S,ABC,Alone,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,31-45,30-60,S,FG,Large,Mr,7
0,3,female,0-16,7.5-15,S,FG,Alone,Miss/Mrs,1
1,2,female,46-60,15-30,S,DE,Alone,Miss/Mrs,1
0,3,male,0-16,15-30,Q,FG,Medium,Master,5
1,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
0,3,female,31-45,15-30,S,FG,Small,Miss/Mrs,1
1,3,female,17-30,0-7.5,C,FG,Alone,Miss/Mrs,1
0,2,male,31-45,15-30,S,DE,Alone,Mr,2
1,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
1,3,female,0-16,7.5-15,Q,FG,Alone,Miss/Mrs,1
1,1,male,17-30,30-60,S,ABC,Alone,Mr,1
0,3,female,0-16,15-30,S,FG,Medium,Miss/Mrs,4
1,3,female,31-45,30-60,S,FG,Large,Miss/Mrs,4
0,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
0,1,male,17-30,250+,S,ABC,Medium,Mr,4
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,1,male,31-45,15-30,C,ABC,Alone,Noble,1
1,1,female,31-45,100-250,C,ABC,Small,Miss/Mrs,2
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,2,male,61-80,7.5-15,S,DE,Alone,Mr,1
0,1,male,17-30,60-100,C,ABC,Small,Mr,2
0,1,male,31-45,30-60,S,ABC,Small,Mr,2
1,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,female,17-30,15-30,S,FG,Small,Miss/Mrs,2
1,3,female,0-16,7.5-15,C,FG,Small,Miss/Mrs,2
0,3,female,31-45,7.5-15,S,FG,Small,Miss/Mrs,1
0,2,female,17-30,15-30,S,DE,Small,Miss/Mrs,2
0,3,male,17-30,7.5-15,C,FG,Alone,Mr,1
1,2,female,0-16,30-60,C,DE,Small,Miss/Mrs,3
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,15-30,Q,FG,Small,Mr,1
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,3,male,17-30,15-30,C,FG,Small,Mr,1
0,3,female,17-30,15-30,S,FG,Small,Miss/Mrs,2
0,3,male,0-16,30-60,S,FG,Medium,Master,6
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,46-60,60-100,C,DE,Small,Miss/Mrs,3
1,2,female,17-30,15-30,S,DE,Small,Miss/Mrs,1
0,1,male,61-80,60-100,C,ABC,Small,Mr,1
